Time,Kinetic_E,Potential_E,Total_E
3.8100,5991076.8493,-1448647.1937,4542429.6555
3.8200,5870207.2664,-1359977.9960,4510229.2704
3.8300,5792622.0989,-1429416.3344,4363205.7645
3.8400,5755939.1518,-1422818.8702,4333120.2816
3.8500,5742066.3811,-1455118.3575,4286948.0236
3.8600,5757897.3457,-1293746.7827,4464150.5629
3.8700,5781944.5384,-1334003.8127,4447940.7257
3.8800,5822524.0965,-1433558.4433,4388965.6533
3.8900,5850372.7861,-1448350.4786,4402022.3074
3.9000,5894878.4609,-1307694.5585,4587183.9024
3.9100,5927190.1980,-1433371.8229,4493818.3752
3.9200,5997216.7171,-1566543.7614,4430672.9557
3.9300,6084306.8250,-1475388.7576,4608918.0674
3.9400,6007883.7188,-1495353.7032,4512530.0155
3.9500,5985910.6830,-1423583.3032,4562327.3798
3.9600,5967279.2884,-1485428.0875,4481851.2008
3.9700,5957958.9177,-1398859.3337,4559099.5840
3.9800,5936184.3704,-1381102.5893,4555081.7812
3.9900,5948281.5714,-1258021.4203,4690260.1511
4.0000,5908716.2784,-1447690.4077,4461025.8707
4.0100,5831536.3508,-1332376.6348,4499159.7160
4.0200,5827794.3508,-1514189.5724,4313604.7784
4.0300,5870577.9707,-1452628.3724,4417949.5983
4.0400,5916285.8063,-1458986.0672,4457299.7391
4.0500,5926574.7840,-1324632.8344,4601941.9496
4.0600,5905841.9721,-1417802.5758,4488039.3964
4.0700,5863562.5212,-1250364.4782,4613198.0430
4.0800,5839013.3475,-1201889.2589,4637124.0886
4.0900,5860367.0950,-1388513.7401,4471853.3549
4.1000,5835514.9432,-1290202.8275,4545312.1157
4.1100,5779692.6977,-1300853.4065,4478839.2913
4.1200,5758478.9070,-1498058.7685,4260420.1385
4.1300,5728206.9782,-1376385.1784,4351821.7998
4.1400,5690778.2796,-1475164.4178,4215613.8618
4.1500,5659374.1850,-1302170.0944,4357204.0905
4.1600,5646833.2002,-1374995.4673,4271837.7329
4.1700,5649074.9417,-1420484.2406,4228590.7011
4.1800,5620509.8678,-1480304.6811,4140205.1867
4.1900,5611549.5907,-1483072.6973,4128476.8934
4.2000,5580545.9342,-1378103.2125,4202442.7217
4.2100,5502340.5918,-1241720.5497,4260620.0422
4.2200,5475739.2297,-1346400.1286,4129339.1011
4.2300,5500794.4703,-1255343.2444,4245451.2259
4.2400,5564260.8149,-1446520.7177,4117740.0972
4.2500,5553446.9504,-1419733.3197,4133713.6307
4.2600,5538303.1162,-1291857.0784,4246446.0378
4.2700,5537669.4522,-1389394.9637,4148274.4884
4.2800,5571658.2600,-1282745.0668,4288913.1932
4.2900,5632481.9580,-1354631.7896,4277850.1685
4.3000,5666147.8057,-1358922.4231,4307225.3826
4.3100,5645114.2891,-1428184.1660,4216930.1231
4.3200,5627456.6119,-1369654.3890,4257802.2229
4.3300,5594946.3582,-1442268.8671,4152677.4910
4.3400,5572371.6881,-1298944.6182,4273427.0699
